x,E
0.01,-82.84536996456823
0.01,82.6075833790038
0.01,-82.60758337900347
0.01,-82.22602411993317
0.01,82.22602411992993
0.01,81.72703513298836
0.01,-81.72703513298791
0.01,-81.23290124887005
0.01,81.23290124886988
0.01,81.08563866598385
0.01,-81.08563866598217
0.01,80.44395328576357
0.01,-80.44395328576337
0.01,79.9490400096744
0.01,-79.94904000967223
0.01,79.7863078329275
0.01,-79.78630783292662
0.01,79.10788674464898
0.01,-79.10788674464888
0.01,-78.64172938609265
0.01,78.64172938609207
0.01,78.38094773656438
0.01,-78.38094773656412
0.01,-77.73681966056867
0.01,77.73681966056863
0.01,-77.1934350409534
0.01,77.19343504095244
0.01,-76.99554835945712
0.01,76.99554835945662
0.01,-76.2420801512586
0.01,76.24208015125735
0.01,-75.78496251572622
0.01,75.78496251572476
0.01,-75.46978142395828
0.01,75.46978142395707
0.01,74.67675687431871
0.01,-74.67675687431797
0.01,74.33294397494224
0.01,-74.33294397494099
0.01,-73.85894005380953
0.01,73.85894005380945
0.01,-73.05495126302259
0.01,73.05495126302252
0.01,-72.80215035709506
0.01,72.80215035709301
0.01,72.18563242442383
0.01,-72.18563242442367
0.01,71.30655891223624
0.01,-71.30655891223398
0.01,71.26952629713571
0.01,-71.26952629713482
0.01,-70.40625673396106
0.01,70.40625673396062
0.01,-69.67616939086312
0.01,69.67616939086292
0.01,69.48325288097122
0.01,-69.48325288097111
0.01,68.53658147943992
0.01,-68.53658147943788
0.01,68.03064287933783
0.01,-68.03064287933778
0.01,67.56416678873812
0.01,-67.56416678873596
0.01,66.58015346740706
0.01,-66.58015346740578
0.01,-66.3144834079593
0.01,66.31448340795903
0.01,-65.55484705217361
0.01,65.55484705217282
0.01,64.55150346083924
0.01,-64.55150346083666
0.01,64.50775657075724
0.01,-64.50775657075626
0.01,63.43419792772703
0.01,-63.43419792772672
0.01,62.715100855203154
0.01,-62.71510085520053
0.01,62.33295897356897
0.01,-62.332958973566164
0.01,-61.20296019842097
0.01,61.20296019842081
0.01,-60.80162313796855
0.01,60.80162313796588
0.01,60.04288812838268
0.01,-60.04288812838083
0.01,58.864558571507345
0.01,-58.86455857150686
0.01,58.788894573079425
0.01,-58.78889457307564
0.01,57.6314898601088
0.01,-57.631489860106434
0.01,-56.700334200509594
0.01,56.70033420050855
0.01,-56.37495871286746
0.01,56.37495871286517
0.01,-55.08369310207838
0.01,55.08369310207827
0.01,54.48816334609126
0.01,-54.48816334608976
0.01,53.75587161730028
0.01,-53.75587161729837
0.01,-52.389657181292876
0.01,52.38965718129001
0.01,-52.142319374965055
0.01,52.14231937496313
0.01,-50.9830115184804
0.01,50.983011518479714
0.01,-49.63920709020287
0.01,49.63920709020231
0.01,49.53044442636561
0.01,-49.53044442636517
0.01,-48.04107844048946
0.01,48.04107844048561
0.01,-46.92859137415781
0.01,46.92859137415635
0.01,46.49986404923711
0.01,-46.499864049236855
0.01,44.908840060477004
0.01,-44.90884006047584
0.01,-43.96345644396529
0.01,43.96345644396432
0.01,-43.26509546559329
0.01,43.265095465591386
0.01,41.565764657826975
0.01,-41.56576465782473
0.01,40.63757321167658
0.01,-40.63757321167315
